timestamp,location,price,last4ccnum,Date,loyaltynum
2014-01-05 23:28:00 UTC,Brew've Been Served,11.34,4795,2014-01-05 16:00:00 UTC,L8566
2014-01-05 23:34:00 UTC,Hallowed Grounds,52.22,7108,2014-01-05 16:00:00 UTC,
2014-01-05 23:35:00 UTC,Brew've Been Served,8.33,6816,2014-01-05 16:00:00 UTC,L8148
2014-01-05 23:36:00 UTC,Hallowed Grounds,16.72,9617,2014-01-05 16:00:00 UTC,L5553
2014-01-05 23:37:00 UTC,Brew've Been Served,4.24,7384,2014-01-05 16:00:00 UTC,L3800
2014-01-05 23:38:00 UTC,Brew've Been Served,4.17,5368,2014-01-05 16:00:00 UTC,L2247
2014-01-05 23:42:00 UTC,Coffee Cameleon,28.73,7253,2014-01-05 16:00:00 UTC,
2014-01-05 23:43:00 UTC,Brew've Been Served,9.6,4948,2014-01-05 16:00:00 UTC,L9406
2014-01-05 23:43:00 UTC,Brew've Been Served,16.9,9683,2014-01-05 16:00:00 UTC,L7291
2014-01-05 23:47:00 UTC,Hallowed Grounds,16.53,8129,2014-01-05 16:00:00 UTC,L8328
2014-01-05 23:48:00 UTC,Hallowed Grounds,10.66,3492,2014-01-05 16:00:00 UTC,L7814
2014-01-05 23:49:00 UTC,Coffee Cameleon,8.39,5921,2014-01-05 16:00:00 UTC,L3295
2014-01-05 23:52:00 UTC,Brew've Been Served,32.83,9405,2014-01-05 16:00:00 UTC,
2014-01-05 23:54:00 UTC,Hallowed Grounds,16.88,7889,2014-01-05 16:00:00 UTC,
2014-01-05 23:54:00 UTC,Coffee Cameleon,11.86,2142,2014-01-05 16:00:00 UTC,L9637
2014-01-05 23:54:00 UTC,Hallowed Grounds,32.93,2681,2014-01-05 16:00:00 UTC,
2014-01-05 23:55:00 UTC,Hallowed Grounds,8.05,9551,2014-01-05 16:00:00 UTC,L5777
2014-01-05 23:55:00 UTC,Brew've Been Served,3.67,3484,2014-01-05 16:00:00 UTC,L2490
2014-01-05 23:59:00 UTC,Brew've Been Served,8.88,7819,2014-01-05 16:00:00 UTC,L5259
2014-01-06 00:00:00 UTC,Brew've Been Served,4.27,5407,2014-01-05 16:00:00 UTC,L4034
2014-01-06 00:00:00 UTC,Hallowed Grounds,9.69,6691,2014-01-05 16:00:00 UTC,
2014-01-06 00:01:00 UTC,Hallowed Grounds,10.07,1874,2014-01-05 16:00:00 UTC,L4424
2014-01-06 00:06:00 UTC,Brew've Been Served,18.24,3853,2014-01-05 16:00:00 UTC,L1485
2014-01-06 00:06:00 UTC,Brew've Been Served,15.58,4434,2014-01-05 16:00:00 UTC,L2169
2014-01-06 00:07:00 UTC,Brew've Been Served,5.66,6901,2014-01-05 16:00:00 UTC,L9363
2014-01-06 00:14:00 UTC,Coffee Cameleon,3.2,2418,2014-01-05 16:00:00 UTC,
2014-01-06 00:16:00 UTC,Brew've Been Served,14.97,1286,2014-01-05 16:00:00 UTC,L3572
2014-01-06 00:16:00 UTC,Brew've Been Served,11.2,8411,2014-01-05 16:00:00 UTC,L6110
2014-01-06 00:17:00 UTC,Brew've Been Served,15.39,8202,2014-01-05 16:00:00 UTC,L2343
2014-01-06 00:23:00 UTC,Abila Airport,4540.08,9220,2014-01-05 16:00:00 UTC,L4063
